feature,importance
low,0.46786663
high,0.27374157
open,0.12535097
rolling_mean_5,0.08777475
rolling_mean_20,0.007979643
close_lag_1,0.0074445275
close_lag_3,0.0034302408
rsi_14,0.0027369077
rolling_mean_10,0.0023898473
return_1d,0.0019951335
zscore,0.00188165
close_lag_10,0.0017465161
close_lag_5,0.0016908204
bb_position,0.0015903391
macd_hist,0.0014853827
close_lag_2,0.0013544846
volume_change,0.0012314401
return_5d,0.0011808367
hl_range,0.0010412002
volume,0.001026354
rolling_std_20,0.0009907635
macd_signal,0.000982184
bb_width,0.00084122486
rolling_std_5,0.0007678419
macd,0.0007622648
rolling_std_10,0.0007164106
is_anomaly,0.0
sentiment_compound,0.0
sentiment_3d,0.0
sentiment_change,0.0
pos_count,0.0
neg_count,0.0
article_count,0.0
