feature,importance
low,0.4891174
open,0.33170006
high,0.11283736
rolling_mean_20,0.00786104
rolling_mean_5,0.006638129
close_lag_1,0.0062815207
rolling_mean_10,0.00540777
close_lag_2,0.0035785984
rsi_14,0.0029345215
bb_position,0.0026425414
macd_hist,0.002638551
volume,0.0024905794
bb_width,0.002462855
zscore,0.0023849395
volume_change,0.0019318392
close_lag_3,0.0019281551
is_anomaly,0.0019000733
return_1d,0.0018950575
macd_signal,0.0018136778
macd,0.0017851959
hl_range,0.0016303111
rolling_std_20,0.0016248807
close_lag_10,0.0014368227
return_5d,0.0014290457
rolling_std_10,0.0012194931
rolling_std_5,0.0012174292
close_lag_5,0.001212174
sentiment_compound,0.0
sentiment_3d,0.0
sentiment_change,0.0
pos_count,0.0
neg_count,0.0
article_count,0.0
