feature,importance
close_lag_2,0.19309656
rolling_mean_5,0.17030995
open,0.13724923
high,0.1273443
rolling_mean_10,0.115581915
close_lag_1,0.10379075
low,0.06431298
close_lag_3,0.064163
close_lag_5,0.018633626
rolling_mean_20,0.0016883201
macd_signal,0.0011426512
close_lag_10,0.0005546011
macd,0.00031841474
rsi_14,0.0002828843
bb_position,0.00025541527
return_1d,0.0002060059
macd_hist,0.00016583092
return_5d,0.00011808648
zscore,0.000110175235
volume_change,9.914189e-05
rolling_std_20,9.576087e-05
bb_width,9.26154e-05
volume,9.0756614e-05
rolling_std_10,8.877508e-05
hl_range,8.8196815e-05
rolling_std_5,7.956834e-05
is_anomaly,4.0460945e-05
sentiment_compound,0.0
sentiment_3d,0.0
sentiment_change,0.0
pos_count,0.0
neg_count,0.0
article_count,0.0
