feature,importance
open,0.38221255
low,0.2677173
high,0.21196096
close_lag_1,0.039967746
rolling_mean_5,0.036774997
rolling_mean_20,0.027312644
close_lag_3,0.010529127
close_lag_2,0.009333732
rolling_mean_10,0.0090638455
close_lag_10,0.0017129082
close_lag_5,0.0010573858
rsi_14,0.00033237704
zscore,0.000324255
bb_position,0.00026028132
bb_width,0.00022790676
return_1d,0.00018124293
macd_hist,0.00016539103
macd_signal,0.00011379127
return_5d,0.00011023074
macd,0.00010182699
hl_range,8.7301174e-05
is_anomaly,8.4882624e-05
rolling_std_10,8.254099e-05
rolling_std_20,7.566041e-05
volume_change,7.16565e-05
rolling_std_5,6.947215e-05
volume,6.799343e-05
sentiment_compound,0.0
sentiment_3d,0.0
sentiment_change,0.0
pos_count,0.0
neg_count,0.0
article_count,0.0
