feature,importance
open,0.28756034
close_lag_3,0.28435233
rolling_mean_5,0.15095372
high,0.11958377
close_lag_5,0.062332705
low,0.0558695
rolling_mean_20,0.025924193
close_lag_1,0.0062252646
close_lag_2,0.0034150986
rolling_mean_10,0.0017175366
close_lag_10,0.00024212364
bb_position,0.00020723253
rsi_14,0.00017403426
return_1d,0.00015275742
volume_change,0.0001489302
volume,0.0001370157
bb_width,0.00010639529
zscore,0.0001040164
macd,0.000103584425
return_5d,0.00010253702
macd_hist,0.00010200574
macd_signal,9.257367e-05
rolling_std_10,8.85568e-05
hl_range,8.59799e-05
rolling_std_20,7.412839e-05
rolling_std_5,7.2493e-05
is_anomaly,7.117553e-05
sentiment_compound,0.0
sentiment_3d,0.0
sentiment_change,0.0
pos_count,0.0
neg_count,0.0
article_count,0.0
