feature,importance
high,0.44310772
low,0.28164703
open,0.19216706
rolling_mean_10,0.031585574
rolling_mean_5,0.009312746
close_lag_1,0.008172384
macd_signal,0.0052083354
close_lag_2,0.004065112
close_lag_5,0.0030418362
rsi_14,0.003003667
rolling_mean_20,0.0021197605
macd,0.0019617167
zscore,0.0018161959
close_lag_10,0.0017353749
bb_position,0.001564717
return_5d,0.0012818938
return_1d,0.0010110331
close_lag_3,0.0009553983
macd_hist,0.00094629417
volume_change,0.0008917436
bb_width,0.00082506496
rolling_std_20,0.00081187516
rolling_std_10,0.00078917516
volume,0.00073119777
rolling_std_5,0.00057745294
hl_range,0.00053889345
is_anomaly,0.00013071799
sentiment_compound,0.0
sentiment_3d,0.0
sentiment_change,0.0
pos_count,0.0
neg_count,0.0
article_count,0.0
