feature,importance
high,0.48573357
low,0.20644492
close_lag_1,0.09447513
rolling_mean_10,0.059961803
rolling_mean_5,0.053713985
close_lag_2,0.045903414
open,0.02719418
rolling_mean_20,0.007746563
close_lag_10,0.0024736298
rsi_14,0.0015750662
bb_width,0.0013859505
close_lag_5,0.001381706
bb_position,0.0012572868
zscore,0.001166249
return_1d,0.0010903404
hl_range,0.0009402061
rolling_std_10,0.0009100589
macd_signal,0.00084674085
rolling_std_20,0.0008028123
return_5d,0.0007459034
macd,0.00071566994
close_lag_3,0.0007130781
volume,0.0007066004
rolling_std_5,0.0006640261
volume_change,0.00056347385
macd_hist,0.0004929134
is_anomaly,0.00039465586
sentiment_compound,0.0
sentiment_3d,0.0
sentiment_change,0.0
pos_count,0.0
neg_count,0.0
article_count,0.0
