feature,importance
low,0.52549976
high,0.28321588
close_lag_1,0.07039745
open,0.05453088
rolling_mean_5,0.031167436
rolling_mean_10,0.006568983
bb_position,0.0031301465
close_lag_2,0.0030563544
rsi_14,0.0023039992
return_1d,0.002084187
macd_hist,0.0015712536
close_lag_3,0.0014215213
close_lag_5,0.0014112372
rolling_mean_20,0.0013765142
bb_width,0.0013325608
zscore,0.0011746032
macd_signal,0.0011351159
macd,0.0011226346
rolling_std_20,0.0009873593
volume,0.0009785781
close_lag_10,0.0009510381
return_5d,0.00092674996
rolling_std_10,0.0008940746
volume_change,0.0008750476
hl_range,0.00087295426
rolling_std_5,0.0007896337
is_anomaly,0.00022402806
sentiment_compound,0.0
sentiment_3d,0.0
sentiment_change,0.0
pos_count,0.0
neg_count,0.0
article_count,0.0
